Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
"FUPXR 1, 869361.1",Flowered Up,Take It,"London Records, Heavenly","12"", Ltd",,1991,199321,Uncategorized,2019-09-16 22:13:20,,,
45-HL-E 8867,Bobby Darin,Dream Lover,"London Records, London American Recordings","7"", Single",,1959,706498,Uncategorized,2019-12-30 23:20:53,,,
"886895.1, LONX 252",Fine Young Cannibals,I'm Not Satisfied,"London Records, London Records","12"", Single",,1990,497735,Uncategorized,2019-09-16 22:10:15,,,
"LON 89, 886 047-7",The Communards,Disenchanted,"London Records, London Records","7"", Single, Sil",,1986,7748683,Uncategorized,2019-12-30 22:53:58,,,
"LONCD 305, 869 403-2",Tin Machine,You Belong In Rock N' Roll,"London Records, London Records","CD, Single, Ltd",,1991,1102872,Uncategorized,2017-05-30 12:31:20,,,
"LONLP 10, 820301 - 1",Blancmange,Believe You Me,"London Records, London Records","LP, Album",,1985,674611,Uncategorized,2017-02-02 07:58:35,,,
"LONX 260, 869 027-1",David Rudder & Margareth Menezes,Dark Secret,"London Records, London Records","12""",,1990,9810435,Uncategorized,2017-02-10 18:50:19,,,
"LONX 282, 869235.1",Carmel (2),And I Take It For Granted,"London Records, London Records","12""",,1990,611656,Uncategorized,2019-09-15 22:10:03,,,
"LONX 306, 869493.1",Banderas,May This Be Your Last Sorrow,"London Records, London Records","12"", Single",,1991,1214542,Uncategorized,2019-09-15 21:48:47,,,
LGN 011,Art Bleek,Wanderers Creek,Loungin' Recordings,"12""",,2006,732555,Uncategorized,2019-09-15 21:41:54,,,
"EVOLX 15, 865 597-1",The Moody Boys,Centre Of The World,"Love Records, Polydor","12""",,1992,81927,Uncategorized,2019-09-23 16:27:21,,,
EFA 040 14-02 MS,Loopzone,Hate,Low Spirit Recordings,"12""",,1990,156330,Uncategorized,2019-09-17 21:18:24,,,
VVD 1003,Madness,Divine Madness,M.C.E.G. Virgin Vision,"VHS, Comp, PAL",,1992,4498227,Uncategorized,2017-02-27 22:42:43,,,
"MAGXR 3, 877 715-1",Jam On The Mutha,Hotel California (Remix),"M&G (2), Polydor","12"", Single",,1990,262195,Uncategorized,2017-02-06 23:26:52,,,
