Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
585001,David Bowie,Don't Be Fooled By The Name,"Vogue Productions, PRT","LP, MiniAlbum, Comp",,1981,1279540,David Bowie,2017-02-20 23:01:04,,,
W 0034 T,Keith Nunnally,Seasons Of Love,"Warner Bros. Records, Giant Records","12""",,1991,885857,Uncategorized,2017-02-08 23:50:54,,,
"9362-40575-2, WO 127 CD",David Bowie,Real Cool World,"Warner Bros. Records, Warner Bros. Records","CD, Single",,1992,1052602,Uncategorized,2017-05-30 12:27:12,,,
"K 16219, WB 7651",America (2),Ventura Highway,"Warner Bros. Records, Warner Bros. Records","7"", Single, Pus",,1972,4113367,Uncategorized,2019-12-30 10:41:37,,,
INSYNCPROMO 2,Insync Featuring Dellroy,Dream,WAU! Mr. Modo Recordings,"12"", Promo",,1990,1243748,Uncategorized,2019-09-17 20:40:24,,,
MWS 020T,Sun Electric,O'locco,WAU! Mr. Modo Recordings,"12""",,1990,70956,Uncategorized,2017-02-28 19:47:33,,,
MWS 033T,The STP Experience,I'm Gonna Love You,WAU! Mr. Modo Recordings,"12""",,1990,23253,Uncategorized,2017-02-28 19:27:02,,,
SPIDER101CD,David Bowie,The Glass Spider Tour (Press Conference's 1987),Wax Records (3),"CD, Ltd, Num, Unofficial, Gol",,1988,8998272,Uncategorized,2019-01-15 08:34:06,,,
24.9981-7,Wah!,The Story Of The Blues,WEA,"7""",,1982,1669582,Uncategorized,2020-01-03 23:55:00,,,
IR 58280,The Boomtown Rats,The Boomtown Rats,WEA,LP,,1977,1429180,Uncategorized,2017-01-27 11:49:34,,,
YZ 521SAM,Aztec Camera Featuring Mick Jones,Good Morning Britain,WEA,"12"", Promo",,1990,1011817,Uncategorized,2019-09-09 21:57:49,,,
YZ114T,Simply Red,Infidelity,"WEA, Elektra","12""",,1987,487575,Uncategorized,2017-01-31 18:26:21,,,
YZ172T,Simply Red,I Won't Feel Bad (Arthur Baker Mix),"WEA, Elektra","12"", Single",,1988,1152340,Uncategorized,2017-01-31 19:16:31,,,
"PRO: 593, 9031-73214-0",Prayers,Alleluia,"WEA, WEA","12"", Ltd",,1990,1377606,Uncategorized,2017-02-10 18:34:20,,,
"WX 24, 24.0005-1",The Associates,Sulk,"WEA, WEA","LP, Album",,1982,1518879,Uncategorized,2017-02-01 23:27:20,,,
"YZ 134T, 248317-0",Echo & The Bunnymen,The Game,"WEA, WEA","12"", Single",,1987,484970,Uncategorized,2019-09-09 22:28:29,,,
"YZ175T, 248044-0",Echo & The Bunnymen,People Are Strange,"WEA, WEA","12"", Single",,1988,498793,Uncategorized,2019-09-09 22:27:23,,,
"YZ134, YZ 134, 248322-7",Echo & The Bunnymen,The Game,"WEA, WEA, WEA","7"", Single",,1987,485638,Uncategorized,2019-12-31 14:13:22,,,
SHE 1,The Creatures,Miss The Girl,"Wonderland (3), Polydor","7"", Single",,1983,316723,Uncategorized,2019-12-30 22:58:04,,,
she 13,Siouxsie & The Banshees,Song From The Edge Of The World,"Wonderland (3), Polydor","7"", Single, Pap",,1987,384619,Uncategorized,2020-01-03 19:44:25,,,
"SHE 2, 813 716-7",The Creatures,Right Now,"Wonderland (3), Polydor","7"", Single, RP, Inj",,1983,497467,Uncategorized,2019-12-30 23:02:04,,,
"SHE 7, 821 998-7",Siouxsie & The Banshees,Dazzle,"Wonderland (3), Polydor","7"", Single, Pap",,1984,2781236,Uncategorized,2020-01-03 19:37:53,,,
SHE 9,Siouxsie & The Banshees,Cities In Dust,"Wonderland (3), Polydor","7"", Single, Sil",,1985,375176,Uncategorized,2020-01-03 19:43:26,,,
"ShE X7, 821 998-1",Siouxsie & The Banshees,Dazzle,"Wonderland (3), Polydor","12"", Single",,1984,354403,Uncategorized,2017-02-02 08:04:26,,,
"Sheep 8, 881396-1",Siouxsie & The Banshees,The Thorn,"Wonderland (3), Polydor","12"", EP",,1984,386956,Uncategorized,2017-01-31 18:28:24,,,
"SHEX 4, 815 501-1",Siouxsie & The Banshees,Dear Prudence,"Wonderland (3), Polydor","12"", Single, M/Print",,1983,388238,Uncategorized,2017-01-31 18:30:32,,,
"SHEX 6, She X6, she x6",Siouxsie & The Banshees,Swimming Horses,"Wonderland (3), Polydor, Wonderland (3), Polydor, Wonderland (3), Polydor","12"", Single",,1984,398203,Uncategorized,2017-01-31 18:29:30,,,
XLT 15,Fantasy UFO,Fantasy,XL Recordings,"12"", W/Lbl",,1990,1112609,Uncategorized,2019-09-16 22:06:42,,,
12 ZTAS 1,Frankie Goes To Hollywood,Relax,ZTT,"12"", RE",,1984,420423,Uncategorized,2019-09-09 22:37:41,,,
12 ZTAS 1,Frankie Goes To Hollywood,Relax,ZTT,"12"", Single, RP",,1984,609918,Uncategorized,2019-09-09 22:38:36,,,
PZTAS 3,Frankie Goes To Hollywood,Two Tribes (We Don't Want To Die),ZTT,"7"", Single, Pic",,1984,395763,Uncategorized,2019-12-31 14:35:34,,,
XZTAS 3,Frankie Goes To Hollywood,Two Tribes (Carnage),ZTT,"12"", Single",,1984,77879,Uncategorized,2019-09-09 22:40:05,,,
ZTAS 1,Frankie Goes To Hollywood,Relax,ZTT,"7"", Single, Dam",,1983,29417,Uncategorized,2019-12-31 14:33:37,,,
ZTAS 5,Frankie Goes To Hollywood,The Power Of Love,ZTT,"7"", Single",,1984,170807,Uncategorized,2019-12-31 22:01:22,,,
ZTAS 7,Frankie Goes To Hollywood,Welcome To The Pleasuredome,ZTT,"7"", Single",,1985,99650,Uncategorized,2019-12-31 14:39:40,,,
ZTT IQ1,Frankie Goes To Hollywood,Welcome To The Pleasuredome,ZTT,"2xLP, Album, EMI",,1984,73458,Uncategorized,2019-01-17 22:28:04,,,
"9031-73237-0, ZANG 8 TX",Seal,Crazy (The William Orbit Remix),"ZTT, ZTT","12"", Single",,1990,43475,Uncategorized,2017-01-31 18:19:28,,,
"12 ztas 5, 12ZTAS 5, 12 ZTAS 5",Frankie Goes To Hollywood,The Power Of Love,"ZTT, ZTT, ZTT","12"", Single, Env",,1984,1139011,Uncategorized,2019-09-09 22:35:30,,,
